RA    DEC      velocity   
       188.00817       42.547399      3887.93
       192.60585       47.025555      1111.47
       199.36875       42.754971      3381.64
       204.37401       44.584910      2547.77
       210.30648       44.588809      2253.85
       211.67733       44.431686      3748.70
       330.42830      0.38010413      2793.69
       331.54997       1.0501651      2777.64
       357.83139     0.069906326      2518.56
       9.3349444     -0.67866942      1843.25
       19.654716     -0.64109766      3816.18
       20.097159     0.029853816      3642.18
       27.638834      0.31229711      3609.37
       29.056926     -0.44604968      3577.84
       35.353987      0.48144451      2726.45
       40.210421     0.030365382      1161.19
       39.441088     -0.39091189      2595.12
       42.210763      0.63257936      2796.93
       43.589369      0.12498316      2590.78
       44.289441      0.40598294      183.028
       46.001530      -1.1451451      3687.69
       48.066097     -0.14397650      2400.86
       1.0900012      0.42661331      3753.65
       3.8379849       1.0747142      1884.87
       7.2700332      -1.1406027      3910.01
       39.196900     -0.21703248      1061.65
       44.990135      0.26259485      1545.52
       47.423994      -1.0538112      231.117
       248.65458       24.614267      306.535
       246.94986       23.287702      368.509
       247.50664       24.941808      3968.66
       247.13576       24.721865      3954.99
       239.25648       30.091388      1801.75
       122.66149       22.650079      2711.29
       124.47521       24.686147      2171.64
       128.05679       25.611996      3889.56
       127.34030       25.885633      2247.60
       137.99781       31.593339      1051.35
       170.59742       11.793923      1739.62
       176.23964       13.387325      3245.75
       182.94502       12.493960      932.737
       182.46075       12.903190      2478.70
       186.42203       13.047556      802.699
       189.89435       12.247320      157.160
       179.28005       6.6754622      2501.63
       178.70552       6.7095928      1548.55
       177.76458       7.6937094      2688.87
       183.82135       6.3932617      2191.09
       183.16971       6.8410394      2263.48
       183.59774       6.7639379      2124.49
       182.68761       7.8678503      2131.63
       183.74177       7.8845594      2452.91
       184.68805       6.2631505      2523.52
       186.69977       7.6715493      791.901
       185.99254       7.4504147      1422.28
       186.13025       6.4879803      841.340
       185.74851       8.0309200      839.685
       186.80321       7.6390397      1357.70
       187.49736       8.4333021      810.571
       62.648428      -6.1948109      77.5149
       62.551083      -4.9846030      233.105
       212.05504       36.458480      3419.32
       211.17214       35.888651      3901.13
       210.70368       36.493940      3708.88
       209.67069       36.777580      3261.88
       209.41834       36.691021      3487.68
       215.00767       35.654451      3391.65
       214.47548       35.278254      3744.80
       216.90403       34.521595      3834.16
       215.34318       35.159967      2904.17
       215.71904       34.829727      3284.36
       215.11655       35.160703      3412.79
       214.49076       35.512273      202.943
       216.06777       36.258939      3346.72
       217.35749       36.288013      3641.77
       217.49132       36.273879      3597.41
       218.83763       34.893481      3848.04
       217.76358       35.520466      3968.53
       218.54903       36.055988      3648.22
       219.10401       35.967226      3961.66
       222.24628       33.193415      1815.20
       220.52481       34.938446      1741.68
       221.33415       34.330111      1795.51
       221.40141       34.179087      1775.27
       222.72113       34.197315      1423.21
       233.78659       28.699804      2068.87
       239.00691       26.283518      2625.86
       248.39323       19.946140      2416.71
       50.797454       40.464630      3468.93
       49.371491       40.491246      297.001
       50.860876       42.064107      3781.66
       51.028140       42.223830      3638.46
       200.07766       50.720505      2617.10
       201.26858       51.324170      3814.42
       210.66453       50.031503      2242.50
       212.25834       48.013807      2434.54
       212.62189       48.694238      2208.65
       212.39435       49.044268      2178.31
       210.86986       48.964838      2186.88
       210.10003       49.444370      2186.10
       210.20737       49.516157      2075.04
       211.89794       50.545373      2225.33
       213.22848       49.922989      3964.74
       213.78850       49.342361      3823.26
       215.64629       47.662897      2280.71
       216.31082       48.458210      3917.39
       213.78596       48.425277      2210.25
       213.50681       48.309285      2216.85
       212.95660       47.966399      2266.47
       214.27517       49.579204      3736.59
       213.94467       48.906399      2166.89
       216.20794       47.418936      3822.99
       219.08100       47.565003      1022.03
       222.51401       46.051914      3263.60
       224.90937       44.673006      979.891
       224.75752       44.175969      942.122
       224.33975       44.177946      3383.93
       230.73138       42.033009      919.320
       238.18825       38.405840      2570.58
       242.11320       36.443155      3772.57
       242.84855       34.065498      3923.36
       244.09455       34.901511      2662.96
       243.71838       35.074559      2598.59
       245.46887       33.484314      2689.95
       246.82504       29.658306      1064.36
       250.39623       28.345734      2667.57
       250.09233       28.471398      1197.31
       250.08816       28.766160      1210.06
       257.01874       23.370096      2800.15
       256.93335       23.999205      3728.27
       255.57950       23.076514      2833.74
       255.50516       23.163394      2910.45
       252.81433       26.725193      3944.54
       254.56709       25.817179      971.546
       190.50692       11.677822      933.159
       193.14324       12.257909      1812.54
       192.92306       13.094913      1641.86
       194.58405       13.313172      2167.21
       211.76821       10.712593      1380.26
       217.21975       12.581574      1954.89
       218.40500       11.217382      1883.46
       218.38971       12.783747      3287.03
       218.78390       13.149059      1920.21
       222.90954       9.0612147      3997.44
       223.18214       11.671611      1834.88
       224.58051       9.0757198      3956.07
       224.36218       8.9547038      3917.37
       226.97086       8.4368736      3904.33
       226.43547       11.208364      3427.26
       226.05570       10.912041      3939.13
       230.23190       10.491665      3579.55
       230.93104       10.929256      3812.13
       233.60408       10.275329      207.842
       233.68935       8.1569093      3172.27
       232.54108       9.6812512      3098.75
       233.00355       8.6331894      3013.63
       234.04611       7.8569693      3191.41
       234.19413       7.8333432      3185.42
       236.61298       8.6568878      3563.32
       235.71120       9.1542481      2106.83
       234.72606       8.5936365      3367.63
       240.69966       6.8751720      1548.46
       240.45153       6.8385482      1761.91
       239.80676       6.7875600      2385.16
       239.98110       6.8840760      1628.21
       241.71258       8.1579634      2675.79
       112.47316       40.095786      3883.85
       112.22870       40.206096      3883.79
       117.73815       47.149483      305.886
       146.83306       12.396404      3930.83
       147.16379       11.769510      3948.90
       151.89324       12.074660      212.855
       150.24394       11.753932      3067.73
       152.08339       12.031544      221.283
       162.75626       13.333472      976.612
       162.34052       12.905591      3141.15
       161.76159       13.567028      3309.35
       161.12918       13.711231      2939.25
       161.72493       13.779389      3328.62
       162.03559       14.854572      2896.34
       162.50749       13.784765      1548.19
       162.94487       13.976842      3045.53
       164.89851       14.735522      3219.16
       167.17689       14.925143      3784.91
       168.51720       15.434380      165.264
       168.60488       15.533859      1136.37
       168.81747       14.698576      1341.99
       171.18538       15.275236      1358.83
       173.46208       14.054143      1193.26
       172.78695       13.570438      1265.54
       173.45851       14.824294      1351.47
       175.23637       14.074226      1151.84
       173.00753       14.610802      1356.61
       176.49467       13.791223      3630.01
       176.31757       13.872673      2969.20
       175.94216       13.707559      2896.74
       176.18352       15.027720      3571.40
       176.73305       15.940089      3681.37
       177.37924       15.260882      1123.59
       176.99437       13.910622      3520.97
       176.66415       14.560423      3251.58
       176.51366       14.643644      3154.03
       179.66826       15.592736      813.381
       182.97434       13.808379      2099.09
       182.63283       14.489992      2296.45
       184.04202       15.123727      855.720
       185.42669       14.572083      1465.76
       185.70494       15.844116      145.216
       187.97442       14.306509      661.576
       188.17845       15.036118      1441.48
       194.53759       14.858942      1101.87
